"","1","2","3","4","selection","Sample.ID","Cluster","Probability_selection"
"DI18R07p09.B06",1.36858174302744e-08,7.4122524070851e-10,0.999999985572957,1.02027150183462e-22,3,"S006-66","B",0.999999985572957
"DI18R07p09.B07",0.00252701871137942,1.08867679141197e-11,0.997472981277734,4.54029816138836e-20,3,"S003-43","B",0.997472981277734
"DI18R07p09.B08",3.24809451666198e-07,1.49992624405406e-05,0.999984675928108,1.68834241979225e-19,3,"S003-114","B",0.999984675928108
"DI18R07p09.B09",0.892683502759435,3.66371980187012e-20,0.107316497240565,1.03357057911069e-39,1,"S009-95","A",0.892683502759435
"DI18R07p09.B10",0.999999999564232,2.65983191760562e-31,4.35767660721665e-10,6.34995079793461e-66,1,"S009-4","A",0.999999999564232
"DI18R07p09.B11",0.999999999998736,7.39484614309463e-33,1.26433524511486e-12,7.62500669803053e-69,1,"S007-13","A",0.999999999998736
"DI18R07p09.B12",4.06851830486628e-25,4.54568829422249e-13,5.64502036620859e-14,0.999999999999489,4,"S011-2","D",0.999999999999489
"DI18R07p09.C01",5.83975479275551e-19,0.999729026030714,0.000270973969264924,2.13966244521618e-14,2,"S006-92","C",0.999729026030714
"DI18R07p09.C03",0.988994969843506,5.86843714552887e-25,0.0110050301564943,7.12900492150899e-48,1,"S007-60","A",0.988994969843506
"DI18R07p09.C04",0.997927226612304,6.72949598121188e-27,0.00207277338769553,1.03467557206848e-47,1,"S010-29","A",0.997927226612304
"DI18R07p09.C05",5.5511185141065e-05,1.05863812870156e-08,0.999944478228478,1.69676965221716e-17,3,"S003-80","B",0.999944478228478
"DI18R07p09.C06",0.999999987670586,1.92933311967001e-27,1.23294135356581e-08,1.51946113238751e-64,1,"S004-124","A",0.999999987670586
"DI18R07p09.C07",6.47727900239225e-06,0.989740784397641,0.010252738323357,2.77584674910322e-30,2,"S007-71","C",0.989740784397641
"DI18R07p09.C08",7.3556982705857e-49,6.26842765338439e-26,1.69068823508865e-30,1,4,"S011-12","D",1
"DI18R07p09.C09",4.99584156041391e-51,6.26862486151638e-35,1.33580376574745e-35,1,4,"S011-19","D",1
"DI18R07p09.C10",1.54888249300958e-08,4.08260964059474e-15,0.999999984511171,6.16796364131132e-44,3,"S009-185","B",0.999999984511171
"DI18R07p09.C11",7.62359373063495e-49,1,1.0822898520018e-28,8.66284659508579e-18,2,"S006-183","C",1
"DI18R07p09.C12",1.48303875102446e-12,6.63212486727626e-09,0.999999993366392,6.33875865823121e-26,3,"S009-119","B",0.999999993366392
"DI18R07p09.D01",0.999998540328236,3.14139291543392e-33,1.45967176352286e-06,1.07372326717099e-50,1,"S009-12","A",0.999998540328236
"DI18R07p09.D02",4.56270032231078e-45,0.000578727899494187,5.24291176523139e-22,0.999421272100506,4,"S011-87","D",0.999421272100506
"DI18R07p09.D03",0.000232127343797102,2.74465283457263e-06,0.999765128003368,1.55812932983578e-16,3,"S003-88","B",0.999765128003368
"DI18R07p09.D04",3.35888971748997e-46,2.02233174552201e-05,4.50727246325001e-22,0.999979776682545,4,"S011-74","D",0.999979776682545
"DI18R07p09.D05",2.82311755577651e-33,0.999999999999822,1.77481740754759e-13,3.81586013143798e-16,2,"S006-151","C",0.999999999999822
"DI18R07p09.D07",0.994412543110477,5.24182062321449e-15,0.00558745688951728,1.17774730397669e-19,1,"S004-3","A",0.994412543110477
"DI18R07p09.D08",0.999829609729594,2.96402669266602e-27,0.000170390270405544,1.11490725552789e-42,1,"S009-76","A",0.999829609729594
"DI18R07p09.D09",0.00515714792985691,1.59231648550671e-11,0.99484285205422,1.59002647620754e-42,3,"S005-108","B",0.99484285205422
"DI18R07p09.D10",0.821120175540443,2.90742973857226e-10,0.178879824168814,9.81139538994969e-20,1,"S010-84","A",0.821120175540443
"DI18R07p09.D11",0.996604629650624,2.2941414836259e-18,0.00339537034937621,2.39098755273409e-31,1,"S010-50","A",0.996604629650624
"DI18R07p09.D12",1.18990774995699e-06,2.15552083657888e-05,0.999977254883884,7.18744208095726e-29,3,"S006-111","B",0.999977254883884
"DI18R07p09.E02",2.06121181386113e-46,1,9.59689561962861e-25,3.1665079681584e-17,2,"S006-162","C",1
"DI18R07p09.E03",0.968464907885521,4.82649567835025e-25,0.0315350921144793,1.93484320584048e-42,1,"S005-56","A",0.968464907885521
