"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_100_length_1989_cov_27_524059_S009-124","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_100_length_1989_cov_27_524059_S009-124","0"
"NODE_100_length_2543_cov_3_922547_S009-179","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID85","Singleton_ClusterID133","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_100_length_2543_cov_3_922547_S009-179","0"
"NODE_100_length_2752_cov_5_082243_S010-184","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_100_length_2752_cov_5_082243_S010-184","0"
"NODE_100_length_2980_cov_4_281777_S007-86","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_100_length_2980_cov_4_281777_S007-86","0"
"NODE_100_length_917_cov_3_629762_S003-6","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID86","NOTSURE_ClusterID158","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_100_length_917_cov_3_629762_S003-6","0"
"NODE_1002_length_673_cov_6_694631_S007-99","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID87","SURE_ClusterID179","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1002_length_673_cov_6_694631_S007-99","0"
"NODE_1004_length_728_cov_15_176651_S010-139","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1004_length_728_cov_15_176651_S010-139","0"
"NODE_10043_length_682_cov_5_748760_S010-136","0","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10043_length_682_cov_5_748760_S010-136","0"
"NODE_1006_length_1494_cov_40_385321_S003-190","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID88","Singleton_ClusterID209","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1006_length_1494_cov_40_385321_S003-190","0"
"NODE_1007_length_981_cov_6_826327_S005-108","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1007_length_981_cov_6_826327_S005-108","0"
